Time,pwrA,pwrB,pwrC
2021-12-21 09:00:00+02:00,554.2630397773788,487.8088928039916,2152.6433178564744
2021-12-21 10:00:00+02:00,560.2033624912665,561.1844121173145,2239.8182867282776
2021-12-21 11:00:00+02:00,557.891252085939,595.9313119171927,2488.118149383998
2021-12-21 12:00:00+02:00,559.5019452331069,561.7604831606645,2681.07404722834
2021-12-21 13:00:00+02:00,559.8952945977591,576.4887230107123,2151.1273255527253
2021-12-21 14:00:00+02:00,554.092137436515,529.2665818281484,876.913010127753
2021-12-21 15:00:00+02:00,553.0013454465101,528.6901554270755,676.0622834811245
2021-12-21 16:00:00+02:00,557.6912097555281,536.2782248699431,1247.874042402472
2021-12-21 17:00:00+02:00,554.5776814464436,510.2235316449611,561.7327949199897
2021-12-21 18:00:00+02:00,562.8435063089894,421.8552440551983,166.88869202334578
2021-12-21 19:00:00+02:00,558.623586331881,524.2401923546424,166.4875949566181
2021-12-21 20:00:00+02:00,560.9500547896984,529.6937830725382,164.26095746653948
2021-12-21 21:00:00+02:00,555.3565678382987,409.2622959080027,169.05412935854784
2021-12-21 22:00:00+02:00,553.5287837982178,540.1130208969116,170.34472286701202
2021-12-21 23:00:00+02:00,565.0749500331594,420.64551999675695,167.87395699344464
2021-12-22 00:00:00+02:00,556.5714854230785,308.09594680323744,167.44261600995304
2021-12-22 01:00:00+02:00,569.1313835166682,398.6049922411095,168.42343456596578
2021-12-22 02:00:00+02:00,548.0989640110223,532.0556690304778,167.51202782919242
2021-12-22 03:00:00+02:00,571.0143305043705,419.52455864577996,168.35693353121397
2021-12-22 04:00:00+02:00,598.9745829264323,322.07640736897787,167.08707021077473
2021-12-22 05:00:00+02:00,570.8587898885397,413.91823101760747,166.85187341216812
2021-12-22 06:00:00+02:00,557.4758667353342,389.875716260199,165.7711948191626
2021-12-22 07:00:00+02:00,562.715180460612,312.88951822916664,166.5124481201172
2021-12-22 08:00:00+02:00,555.2816138267517,535.6883845329285,166.47206211090088
2021-12-22 09:00:00+02:00,559.5910566420782,460.8059551602318,205.19234711783272
2021-12-22 10:00:00+02:00,557.8853960113414,541.3289251722282,1160.4400358179296
2021-12-22 11:00:00+02:00,557.477785481619,592.7979696312075,1419.9660113143743
2021-12-22 12:00:00+02:00,560.200301674501,547.7405359171416,967.5955452801943
2021-12-22 13:00:00+02:00,558.515799987329,527.76070860491,1215.068888710842
2021-12-22 14:00:00+02:00,556.8605588691978,524.8029449943482,1320.6280425407488
2021-12-22 15:00:00+02:00,561.3040026572968,502.37007386443383,1360.8385300723412
2021-12-22 16:00:00+02:00,559.3888406214157,510.06321251750995,368.2011322223466
2021-12-22 17:00:00+02:00,560.6890494174983,580.0393854329648,233.5751868675139
2021-12-22 18:00:00+02:00,557.7052714538574,556.7936979675293,178.7635832977295
