Time,pwrA,pwrB,pwrC,log_pwrA,log_pwrB,log_pwrC,diff_log_pwrA,diff_log_pwrB,diff_log_pwrC
2021-12-26 12:00:00+02:00,560.1899343091388,482.454544185668,99.93897371513899,6.3282758946337685,6.178886707399479,4.604559736853316,-0.01973772328709078,0.1471676192969955,-0.001610617489071764
2021-12-26 13:00:00+02:00,570.5134506612865,273.9121896191902,100.13582429062896,6.346536745994025,5.612807579182342,4.6065275073168745,0.01826085136025668,-0.5660791282171367,0.001967770463558338
2021-12-26 14:00:00+02:00,563.276917048863,404.4441944303967,99.95649723779587,6.3337713669834,6.002513765127774,4.604735063714083,-0.012765379010625466,0.3897061859454318,-0.0017924436027918489
2021-12-26 15:00:00+02:00,564.4915737575955,405.63125672003235,100.31016421077227,6.335925456565281,6.005444512226991,4.608267027926974,0.0021540895818814576,0.002930747099217257,0.0035319642128914808
2021-12-26 16:00:00+02:00,569.1124627165092,266.51246075297513,100.31044112804324,6.344078064361583,5.585420999559633,4.608269788533448,0.008152607796302114,-0.42002351266735793,2.7606064740837155e-06
2021-12-26 17:00:00+02:00,566.3252938338152,485.7197885588398,99.27109690175443,6.339168637200558,6.185631890870609,4.597854460220793,-0.0049094271610252704,0.6002108913109758,-0.010415328312655348
2021-12-26 18:00:00+02:00,576.1310689976153,369.2693754617641,100.04541355661685,6.356335185153321,5.91152639251086,4.6056242184659135,0.017166547952762734,-0.2741054983597495,0.007769758245120606
2021-12-26 19:00:00+02:00,552.5814448765346,328.76907051934137,100.23555483136859,6.314600834069133,5.795355590993815,4.607522964346837,-0.04173435108418744,-0.11617080151704506,0.0018987458809238689
2021-12-26 20:00:00+02:00,555.689219156901,279.5417500813802,100.04644711812337,6.320209179624229,5.633151655613038,4.605634549335975,0.005608345555095262,-0.16220393538077627,-0.0018884150108622322
2021-12-26 21:00:00+02:00,552.8540020473113,409.03939873554987,101.91611031469355,6.315093955901002,6.013811480830193,4.624150026993285,-0.005115223723226592,0.3806598252171547,0.018515477657309987
2021-12-26 22:00:00+02:00,564.3654080904447,309.52045096931874,99.84230016352056,6.335701928395274,5.7350241673869276,4.603591942852536,0.02060797249427182,-0.27878731344326546,-0.02055808414074889
2021-12-26 23:00:00+02:00,559.6001291275024,501.7722121477127,99.76503157615662,6.327222473540947,6.2181462560492795,4.602817736909798,-0.008479454854326995,0.48312208866235196,-0.0007742059427382486
2021-12-27 00:00:00+02:00,566.9987134933472,265.54583716392517,100.16519367694855,6.340357034754009,5.581787470465832,4.606820759810827,0.01313456121306178,-0.6363587855834476,0.004003022901028608
2021-12-27 01:00:00+02:00,551.7456846911498,407.4844926005662,99.89211365670869,6.313087223975585,6.010002876988873,4.604090740163106,-0.027269810778423498,0.4282154065230408,-0.002730019647720461
2021-12-27 02:00:00+02:00,558.1727020571931,431.2669132887715,99.77205823647856,6.324668416390091,6.0667271867968555,4.602888166525981,0.01158119241450617,0.05672430980798282,-0.0012025736371255036
